Reviewed,Reviewer,Date,Content
138552,138365,Dec 18 2020,"
Right to Information Mortality
"
138553,82885,Dec 18 2020,"
Answer an open-ended survey about your opinions on doxing on social platforms
"
138554,122106,Dec 18 2020,"
Travelling In Covid-19 Times(~ 7 minutes)
"
138555,97765,Dec 18 2020,"
Survey about social media and healthcare (&lt;10 min)
"
138556,97765,Dec 18 2020,"
Social Experiences and Reactions Survey(~ 15 minutes)
"
138557,10866,Dec 18 2020,"
Brief ~6 minute survey about your thoughts on an interaction ($0.85)
"
138558,31178,Dec 18 2020,"
Brief ~6 minute survey about your thoughts on an interaction ($0.85)
"
138559,135617,Dec 18 2020,"
Answer a survey about decision-making
"
138560,122392,Dec 18 2020,"
Collect High School Athletic Admin's Name and Email. 
"
138561,97765,Dec 18 2020,"
Survey on citizen compliance of the CDC guidelines during COVID-19
"
138562,27967,Dec 18 2020,"
A survey on your opinion(~ 4 minutes)
"
138563,97765,Dec 18 2020,"
FOOD SCALE
"
138564,74522,Dec 18 2020,"
Smartphone Survey(~ 10 minutes)
"
138565,97093,Dec 18 2020,"
Experiment pays $2 reward plus substantial bonus
"
138566,10866,Dec 18 2020,"
Equitable Allocation of the COVID-19 Vaccine: preference survey
"
138567,122106,Dec 18 2020,"
2-min survey: Leader team(~ 2 minutes)
"
138568,96716,Dec 18 2020,"
Study about objects: 10 mins
"
138569,97093,Dec 18 2020,"
Belief Updating(~ 45 minutes)
"
138570,96716,Dec 18 2020,"
It?셲 All About My Team: Understanding Political Identity through Sport
"
138571,97765,Dec 18 2020,"
Take a 10-min survey about social media post 
"
138572,97765,Dec 18 2020,"
This is a small task about 3 min(~ 1 minutes)
"
138573,44672,Dec 18 2020,"
Answer a survey about cooking, gardening, and health (~ 30 mins)
"
138574,82885,Dec 17 2020,"
Record noisy speech
"
138575,114443,Dec 17 2020,"
1 minute survey(~ 1 minutes)
"
138576,41180,Dec 17 2020,"
How do you think we can make life in the United States better?
"
138577,33279,Dec 17 2020,"
Questions about emotions 
"
138578,56633,Dec 17 2020,"
Belief Survey $2.33
"
138579,42525,Dec 17 2020,"
[Bonus Up To $0.25] Rate the Design of Search Results | REQUIRES Desktop or Laptop | 5-8 min
"
138580,56633,Dec 17 2020,"
2020 U.S. Presidential Election Survey - Wave 4(~ 30 minutes)1.50
"
138581,128154,Dec 17 2020,"
Interpersonal Dynamics at Work
"
138582,122392,Dec 17 2020,"
Your opinion on resumes(~ 5 minutes)
"
138583,108401,Dec 17 2020,"
answer a survey about behavior at the workplace
"
138584,97765,Dec 17 2020,"
STUDY2 - ABOUT COFFEE CHAINS(~ 7 minutes)
"
138585,10866,Dec 17 2020,"
A survey about hotel reviews
"
138586,96453,Dec 17 2020,"
Opinions about technology(~ 7 minutes)
"
138587,122106,Dec 17 2020,"
Learning and Risk Taking(~ 15 minutes)
"
138588,123693,Dec 17 2020,"
Online Training HRC No. 1
"
138589,74522,Dec 17 2020,"
It?셲 All About My Team: Understanding Political Identity through Sport
"
138590,97765,Dec 17 2020,"
Short survey on your opinions!(~ 5 minutes)
"
138591,90536,Dec 17 2020,"
answer a survey about behavior at the workplace
"
138592,138487,Dec 17 2020,"
Answer a survey about a mobile app interface
"
138593,56633,Dec 17 2020,"
Personality and Perceptions of Knowledge(~ 35 minutes)
"
138594,68432,Dec 17 2020,"
""Rate faces on traits(~ 15 minutes)""
"
138595,134363,Dec 17 2020,"
answer a survey about behavior at the workplace
"
138596,33279,Dec 17 2020,"
Purchasing vehicle
"
138597,74522,Dec 17 2020,"
$1 bonus! Rate recognizability &amp; desirability of images
"
138598,64599,Dec 17 2020,"
Vehicle Purchasing Preferences Research Study
"
138599,59417,Dec 17 2020,"
Online Training HRC No.1
"
138600,10866,Dec 17 2020,"
Familial Health and Eating Behaviors During a Pandemic
"
138601,56633,Dec 17 2020,"
A 12-15 minute survey on moral inclinations, personality, and investment preferences
"
138602,56633,Dec 17 2020,"
Online Training HRC No.1 $2.00
"
138603,97765,Dec 17 2020,"
Academic Study about ads(~ 5 minutes)
"
138604,74522,Dec 17 2020,"
Ten famous songs
"
138605,138033,Dec 17 2020,"
Draw bounding boxes around the license plates and enter the license plate letters and numbers.
"
138606,81028,Dec 17 2020,"
Stock market questions to a bot
"
138607,138365,Dec 17 2020,"
Online Survey on Digital Game Enjoyment
"
138608,122106,Dec 17 2020,"
Two-player money game
"
138609,74522,Dec 17 2020,"
Listening Test
"
138610,114443,Dec 17 2020,"
Coronavirus Perspectives(~ 30 minutes)
"
138611,97765,Dec 17 2020,"
Responses to another's behavior(~ 5 minutes)
"
138612,74522,Dec 17 2020,"
Rate the audio quality
"
138613,96716,Dec 17 2020,"
Answer a survey about symbols on uniforms of service personnel
"
138614,90240,Dec 17 2020,"
Enter the exact text found within each image
"
138615,97765,Dec 17 2020,"
Research for impression of short movies (2)
"
138616,11465,Dec 17 2020,"
Get an address shown in an image.
"
138617,97765,Dec 17 2020,"
Mental visualization abilities
"
138618,65787,Dec 17 2020,"
Answer a survey about your opinions on several health-related issues.
"
138619,138055,Dec 17 2020,"
In this job, you will be presented with a text. Review the text to determine the best category which it fits into. 
"
138620,90240,Dec 16 2020,"
Answer a question about Amazon cart discount
"
138621,109639,Dec 16 2020,"
7mins_Online News Survey
"
138622,96453,Dec 16 2020,"
Consumer Research Study(~ 2 minutes)
"
138623,56780,Dec 16 2020,"
7mins_Online News Survey
"
138624,102986,Dec 16 2020,"
Healthcare Visit Survey - Qualifying Questions
"
138625,109202,Dec 16 2020,"
Survey(~ 5 minutes)
"
138626,97765,Dec 16 2020,"
Simple 3-4 minute survey on names
"
138627,15840,Dec 16 2020,"
Workplace Perceptions and Decision-Making Study (~ 7 minutes)
"
138628,57942,Dec 16 2020,"
The role of Parent Child Relationships and Further Child Rearing Decisions
"
138629,90240,Dec 16 2020,"
Public perception of Plastic Surgery
"
138630,103420,Dec 16 2020,"
Public perception of Plastic Surgery
"
138631,43083,Dec 16 2020,"
Answer a short survey about your opinions and values (5-8 minutes)
"
138632,97765,Dec 16 2020,"
Survey about current social issues ($0.50 for 20 minutes)(~ 20 minutes)
"
138633,10866,Dec 16 2020,"
Evaluate &amp; Score Online Discussion Text
"
138634,90240,Dec 16 2020,"
Short (4 min) academic study about consumer behavior
"
138635,114443,Dec 16 2020,"
Finish a survey(~ 7 minutes)
"
138636,114443,Dec 16 2020,"
***$1.50 for only LEADERS to describe their leadership styles***(~ 23 minutes)
"
138637,33282,Dec 16 2020,"
Answer a brief survey on group interactions and mental health
"
138638,96716,Dec 16 2020,"
Find product on Amazon.com 
"
138639,15695,Dec 16 2020,"
Please answer a survey (about 3 minutes). (~ 3 minutes)
"
138640,15695,Dec 16 2020,"
Survey -  17 quick questions for various types of artists (including music). $1 performance bonus oppty
"
138641,28930,Dec 16 2020,"
Answer a survey about food purchase experience
"
138642,15695,Dec 16 2020,"
Short Survey
"
138643,15695,Dec 16 2020,"
2020-12-15 research survey
"
138644,15695,Dec 16 2020,"
2 minute academic marketing survey, December 15th, 2020.
"
138645,74522,Dec 16 2020,"
Task on Human Decision Making (with bonus)
"
138646,93518,Dec 16 2020,"
Earn up to $8.50 by completing a study and game on financial decision-making
"
138647,56633,Dec 16 2020,"
Participate in a survey study (psychology) 1.50
"
138648,74522,Dec 16 2020,"
A 12-15 minute survey on moral inclinations, personality, and investment preferences
"
138649,96716,Dec 16 2020,"
Survey on frontline service employees and robots in various service areas (for employed US residents only, 20 minutes)
"
138650,96716,Dec 16 2020,"
Participate in a survey study (psychology)
"
138651,74522,Dec 16 2020,"
Participate in a survey study (psychology)
"
138652,10866,Dec 16 2020,"
Answer a short survey about your opinions and values (5-8 minutes)
"
138653,54920,Dec 16 2020,"
Academic Survey (~20 mins/$2.5 base with bonus up to $2.5)
"
138654,103420,Dec 16 2020,"
Online Training HRC No.1
"
138655,13134,Dec 16 2020,"
Answer a survey about your opinion on various aspects of consumer behavior 
"
138656,109202,Dec 16 2020,"
5-minute Experimental Philosophy Survey
"
138657,84614,Dec 16 2020,"
Answer a survey about your opinion on various aspects of consumer behavior 
"
138658,138329,Dec 16 2020,"
a suvery on your opinion about shopping
"
138659,68432,Dec 16 2020,"
""Short 5 minute survey for $0.75(~ 5 minutes)""
"
138660,97765,Dec 16 2020,"
12-min Psycholology Experiment(~ 12 minutes)
"
138661,97110,Dec 16 2020,"
Psychology study: play a game and complete a survey (~1 hour)
"
138662,74522,Dec 16 2020,"
Short mobile app surveys about your daily emotions, 3 times per day for a week, total completion time &lt; 30 minutes.
"
138663,90240,Dec 16 2020,"
GA(~ 5 minutes)
"
138664,114443,Dec 15 2020,"
Demographic Survey(~ 2 minutes)
"
138665,114443,Dec 15 2020,"
 A survey about parenting 
"
138666,114443,Dec 15 2020,"
Wedding Gift - Write a note/ doodle, take a photo outside your window
"
138667,97110,Dec 15 2020,"
Perceptions of Audio Recordings
"
138668,97110,Dec 15 2020,"
Survey about Health
"
138669,106430,Dec 15 2020,"
Human preference study
"
138670,15695,Dec 15 2020,"
Vehicle Purchasing Preferences Research Study
"
138671,106430,Dec 15 2020,"
A survey about parenting
"
138672,121638,Dec 15 2020,"
Read news stories and answer a few questions
"
138673,90240,Dec 15 2020,"
A survey about parenting
"
138674,90240,Dec 15 2020,"
Get 20 cents from a 1-minute survey (Age must be 25-65)
"
138675,54142,Dec 15 2020,"
Image Rating Task(~ 60 minutes)
"
138676,99611,Dec 15 2020,"
Task on Human Decision Making (with bonus)
"
138677,97765,Dec 15 2020,"
5-7 minutes consumer survey
"
138678,114443,Dec 15 2020,"
A 10-minute survey about daily experiences and information processing(~ 10 minutes
"
138679,19987,Dec 15 2020,"
Answer a survey about your opinion on various aspects of consumer behavior 
"
138680,31284,Dec 15 2020,"
Survey about Crapemyrtle
"
138681,31284,Dec 15 2020,"
A survey about hotel reviews
"
138682,10866,Dec 15 2020,"
Legal Decision-Making Study
"
138683,97093,Dec 15 2020,"
Answer a survey about your opinion on various aspects of consumer behavior
"
138684,10866,Dec 15 2020,"
Survey about online restaurant food delivery
"
138685,14717,Dec 15 2020,"
Public Perceptions about discussion of cost of imaging tests
"
138686,114443,Dec 15 2020,"
Consumer behavior study(~ 4 minutes)
"
138687,114443,Dec 15 2020,"
Read a (very short) scenario and answer (very few) questions!(~ 5 minutes)
"
138688,97765,Dec 15 2020,"
Tooth labelling
"
138689,97765,Dec 15 2020,"
Answer a short survey about your opinions on issues recently in the news
"
138690,80132,Dec 15 2020,"
Answer a survey about Personal Loans
"
138691,49146,Dec 15 2020,"
Answer a short survey about your opinions on issues recently in the news
"
138692,30907,Dec 15 2020,"
Meal Labelling Task
"
138693,97765,Dec 15 2020,"
Online Course Title Survey(~ 6 minutes)
"
138694,106430,Dec 15 2020,"
Review a Product and Tell us what you think(~ 10 minutes)
"
138695,31284,Dec 15 2020,"
Short (3 mins) survey on service providers
"
138696,133644,Dec 15 2020,"
Collect data from a Website
"
138697,13973,Dec 15 2020,"
View film clips and provide ratings. (WARNING: This HIT may contain adult content. Worker discretion is advised.)
"
138698,97765,Dec 15 2020,"
Study of Consumer Perception and Prosocial Decision Making(~ 7 minutes)
"
138699,90240,Dec 15 2020,"
Take part in 2 short consecutive studies this week (~ 2 minutes); STUDY2 - ABOUT COFFEE CHAINS(~ 7 minutes)
"
138700,97765,Dec 15 2020,"
Answer a survey about your opinions
"
138701,77671,Dec 15 2020,"
We are looking for ppl who've played Genshin Impact!
"
138702,5390,Dec 15 2020,"
Survey about Cool Adverts
"
138703,5390,Dec 15 2020,"
Dislike a Youtube video
"
138704,33279,Dec 15 2020,"
How would you evaluate this scientific research project? (~20 min)
"
138705,30448,Dec 14 2020,"
Study on health perceptions
"
138706,30448,Dec 14 2020,"
Participate in a research study about decision making
"
138707,114443,Dec 14 2020,"
Evaluating Professional Introductions(~ 7 minutes)
"
138708,40100,Dec 14 2020,"
Read 4 short sentences and answer 9 multiple choice and 2 short answer
"
138709,114443,Dec 14 2020,"
Well-Being in Older Adults
"
138710,114443,Dec 14 2020,"
Your Facebook Feed(~ 15 minutes)
"
138711,99611,Dec 14 2020,"
Answer a survey about health (5 min; $2)
"
138712,74041,Dec 14 2020,"
Answer a survey about health (5 min; $2)
"
138713,137385,Dec 14 2020,"
Record noisy speech
"
138714,33279,Dec 14 2020,"
Please rate impressions of short video clips (avg. 6 min to finish)
"
138715,33279,Dec 14 2020,"
Framing Label Assessment
"
138716,99611,Dec 14 2020,"
Stanford Survey(~ 5 minutes)
"
138717,11465,Dec 14 2020,"
Draw INDIVIDUAL bounding boxes around EACH STITCH on the NEEDLE
"
138718,128154,Dec 14 2020,"
Right to Information Mortality
"
138719,90240,Dec 14 2020,"
Covid-19 impact on grocery shopping(~ 5 minutes)
"
138720,103420,Dec 14 2020,"
 How would you evaluate this scientific research project? (~20 min)
"
138721,137708,Dec 14 2020,"
A Study of Memory(~ 10 minutes)
"
138722,98488,Dec 14 2020,"
How would you evaluate this scientific research project? (~20 min)
"
138723,55700,Dec 14 2020,"
Answer a survey about your opinion on various aspects of consumer behavior 
"
138724,97765,Dec 14 2020,"
Personality and Perceptions of Knowledge(~ 35 minutes)
"
138725,97765,Dec 14 2020,"
Social Behavior Survey(2020SER)(~ 10 minutes)
"
138726,38768,Dec 14 2020,"
A study of memory 
"
138727,96716,Dec 14 2020,"
How people see us when we help
"
138728,89986,Dec 14 2020,"
Answer a survey about a mobile app interface
"
138729,114443,Dec 14 2020,"
Channel Choice (6-8 Minutes) Survey
"
138730,114443,Dec 13 2020,"
Participate in a 5 to 10-minute study on Companies' Conference Calls
"
138731,114443,Dec 13 2020,"
Video Study
"
138732,72006,Dec 13 2020,"
Answer a survey about some daily shopping scenarios
"
138733,114947,Dec 13 2020,"
Chrome Browser users: Participants needed for advertising study
"
138734,121638,Dec 13 2020,"
Identify book recommendations in Twitter posts
"
138735,121638,Dec 13 2020,"
stop-signal, delay discounting tasks and questionnaires
"
138736,92757,Dec 13 2020,"
stop-signal, delay discounting tasks and questionnaires
"
138737,122180,Dec 13 2020,"
2-min survey: Leader team(~ 2 minutes)
"
138738,114443,Dec 13 2020,"
Your opinions(~ 10 minutes)
"
138739,114443,Dec 13 2020,"
Person Perception(~ 5 minutes)
"
138740,138164,Dec 13 2020,"
Read news stories and answer a few questions
"
138741,114443,Dec 13 2020,"
Self perceptions and Performance
"
138742,114443,Dec 13 2020,"
Consumer study 201213_2(~ 2 minutes)
"
138743,97765,Dec 13 2020,"
Short stories(~ 15 minutes)
"
138744,114443,Dec 13 2020,"
stop-signal, delay discounting tasks and questionnaires 
"
138745,97765,Dec 13 2020,"
Short survey on high-maintenance employees
"
138746,97765,Dec 13 2020,"
Experience and Preference Survey(~ 1 minutes)
"
138747,99611,Dec 13 2020,"
Social Experiences and Reactions Survey(~ 15 minutes)
"
138748,98616,Dec 13 2020,"
Judgments and Choices (~10 minutes)(~ 10 minutes)
"
138749,138323,Dec 13 2020,"
Dec Pride 21
"
138750,15840,Dec 13 2020,"
[ENGLISH PROFICIENCY REQUIRED] Small usability task &amp; feedback on a website/app prototype. (~5 minute)
"
138751,10866,Dec 13 2020,"
Survey about your passion and well-being at work(~ 15 minutes)
"
138752,96716,Dec 13 2020,"
Answer a survey about your opinions
"
138753,91396,Dec 13 2020,"
Identify company matches
"
138754,13991,Dec 13 2020,"
a suvery on your opinion about an ad
"
138755,65787,Dec 13 2020,"
Answer a survey about your attitudes toward responsibility taking
"
138756,97765,Dec 13 2020,"
Answer a survey about your attitudes toward responsibility taking
"
138757,22466,Dec 13 2020,"
Answer a survey about live streaming food content
"
138758,30448,Dec 13 2020,"
Social Experiences and Reactions Survey(~ 15 minutes)
"
138759,30448,Dec 13 2020,"
Study of individual characteristics and decision making in general population.
"
138760,30448,Dec 13 2020,"
10 minutes - Answer a survey about your video conferencing tools at work
"
138761,99611,Dec 13 2020,"
Workplace Perceptions(~ 20 minutes)
"
138762,69403,Dec 13 2020,"
Customer Interactions in Different Service Settings
"
138763,57975,Dec 12 2020,"
Musical Covers Preferences - 40 minutes
"
138764,57975,Dec 12 2020,"
Musical Covers Preferences - 40 minutes
"
138765,114443,Dec 12 2020,"
Confidence in Psoriasis Treatment Options (&lt; 5 mins)
"
138766,114443,Dec 12 2020,"
Your opinions on parent leadership 
"
138767,114443,Dec 12 2020,"
Paid Screener - Eligibility for larger mental health survey
"
138768,109227,Dec 12 2020,"
Consumer Research Study(~ 10 minutes)
"
138769,97765,Dec 12 2020,"
Online shopping preference study(~ 20 minutes)
"
138770,122392,Dec 12 2020,"
Collect data from a Website
"
138771,121638,Dec 12 2020,"
Volumetric Video QoE(Qualities of Experiences) Data Collection
"
138772,114443,Dec 12 2020,"
Workplace Perceptions(~ 20 minutes)
"
138773,45633,Dec 12 2020,"
A science experiment task
"
138774,13991,Dec 12 2020,"
2-min survey: Leader team(~ 2 minutes)
"
138775,68432,Dec 12 2020,"
""Survey about people's political opinions(~ 5 minutes)""
"
138776,114947,Dec 12 2020,"
Sound experiment
"
138777,10866,Dec 12 2020,"
Workplace Perceptions(~ 20 minutes)
"
138778,29851,Dec 12 2020,"
Answer a survey about consumer behaviour
"
138779,48737,Dec 12 2020,"
Answer questions about a news article(~ 15 minutes)
"
138780,122106,Dec 12 2020,"
Short Consumer Behavior Study(~ 7 minutes)
"
138781,98699,Dec 12 2020,"
 Native English speakers only! - Read a short story and answer some questions
"
138782,122106,Dec 12 2020,"
General social attitudes(~ 7 minutes)
"
138783,6555,Dec 12 2020,"
Listen to audio files and compare audio quality
"
138784,114443,Dec 12 2020,"
Survey(~ 9 minutes)
"
138785,68432,Dec 12 2020,"
""Do you have strong opinions on gun control in the United States?(~ 7 minutes)""
"
138786,74627,Dec 12 2020,"
nformation Privacy(~ 10 minutes)
"
138787,72006,Dec 12 2020,"
Short Survey About Your Preferences(~ 1 minutes)
"
138788,128043,Dec 11 2020,"
Eating Behaviors across Demographic Groups (this batch, recruiting ONLY African American or Black participants)
"
138789,97110,Dec 11 2020,"
Brief Screener for Full Study
"
138790,97110,Dec 11 2020,"
Participate in a 5 to 10-minute study on Companies' Conference Calls
"
138791,109202,Dec 11 2020,"
Typing Experiment
"
138792,17717,Dec 11 2020,"
Stock market question to a bot
"
138793,11357,Dec 11 2020,"
Answer questions about objects in the yellow bounded box within each image
"
138794,49146,Dec 11 2020,"
Perceptions about Homelessness and Homelessness Charities
"
138795,48737,Dec 11 2020,"
texts comparison test
"
138796,33279,Dec 11 2020,"
Click a button to send SMS
"
138797,97765,Dec 11 2020,"
AI emotion coding (set 1)(~ 15 minutes)
"
138798,137488,Dec 11 2020,"
Survey of mental health and life history
"
138799,109202,Dec 11 2020,"
Academic Study(~ 5 minutes)
"
138800,133992,Dec 11 2020,"
Negotiation Survey (~10 minutes)
"
138801,56780,Dec 11 2020,"
Travel destinations attitudes survey (approx 6 mins)(~ 6 minutes)
"
138802,96716,Dec 11 2020,"
Travel destinations attitudes survey (approx 6 mins)(~ 6 minutes)
"
138803,115515,Dec 11 2020,"
experimentalecon
"
138804,135617,Dec 11 2020,"
Answer a survey about a flu shot (5 min; $2)
"
138805,96716,Dec 11 2020,"
images comparison test
"
138806,103420,Dec 11 2020,"
Answer a survey about your opinions
"
138807,138487,Dec 11 2020,"
How would you evaluate this scientific research project? (~20 min)
"
138808,98648,Dec 11 2020,"
Academic study regarding performance in a simple task
"
138809,138036,Dec 11 2020,"
Answer a survey about your decisions(~ 5 minutes)
"
138810,66670,Dec 11 2020,"
 Customer Interactions in Different Service Settings
"
138811,97765,Dec 11 2020,"
Take a research survey about your perceptions of the workplace.(~ 10 minutes)
"
138812,114443,Dec 11 2020,"
Complete Study Screener to Determine Eligibility
"
138813,114443,Dec 11 2020,"
Cognitive Ability and Beliefs about Cognition(~ 30 minutes)
"
138814,114443,Dec 11 2020,"
News Consumption(~ 15 minutes)
"
138815,114443,Dec 10 2020,"
Earn 40 cents in just a few mins !!(~ 10 minutes)
"
138816,15695,Dec 10 2020,"
Take A Quick Survey on Political Preferences
"
138817,114443,Dec 10 2020,"
Evaluate items ~ 3 minutes
"
138818,42525,Dec 10 2020,"
Online banking experience survey(~ 5 minutes)
"
138819,96453,Dec 10 2020,"
Answer 2 multiple choice questions about company name (1 minute)
"
138820,99611,Dec 10 2020,"
Academic study regarding performance in a simple task ***You may only take this study 1 time***
"
138821,99611,Dec 10 2020,"
Social Psychology Study(~ 12 minutes)
"
138822,122392,Dec 10 2020,"
Short Survey About Your Preferences(~ 1 minutes)
"
138823,78398,Dec 10 2020,"
Academic study regarding performance in a simple task
"
138824,122392,Dec 10 2020,"
Verify and Collect data from Online Pet Store Websites
"
138825,109202,Dec 10 2020,"
Survey about an advertisement and a gift-giving experience
"
138826,99611,Dec 10 2020,"
Responses to Information on Treatments for Depression(~ 30 minutes)
"
138827,109202,Dec 10 2020,"
Politics Study(~ 7 minutes)
"
138828,122106,Dec 10 2020,"
Perceptions of How COVID-19 Drugs and Other Medical Treatments are Tested
"
138829,97765,Dec 10 2020,"
Survey on communication at the workplace(~ 10 minutes)
"
138830,114443,Dec 10 2020,"
Study About Chocolate(~ 1 minutes)
"
138831,109202,Dec 10 2020,"
Answer a survey about excitement
"
138832,114443,Dec 10 2020,"
Short Survey About Your Preferences(~ 1 minutes)
"
138833,109202,Dec 10 2020,"
Life Roles during the COVID-19 pandemic - Follow-Up(~ 20 minutes)
"
138834,97765,Dec 10 2020,"
Academic survey on policies(~ 7 minutes)
"
138835,15695,Dec 10 2020,"
Customer Interactions in Different Service Settings
"
138836,9685,Dec 10 2020,"
Checking game
"
138837,136632,Dec 10 2020,"
Academic study regarding performance in a simple task
"
138838,87022,Dec 10 2020,"
Customer Interactions in Different Service Settings
"
138839,42910,Dec 10 2020,"
Please answer an interesting survey about a scenario about entrepreneurs
"
138840,56780,Dec 10 2020,"
 16 minute Categorization and Attitudes Study (includes brief 1 min unpaid screene
"
138841,98616,Dec 10 2020,"
Academic study regarding performance in a simple task
"
138842,56780,Dec 10 2020,"
Work Motivation(~ 15 minutes)
"
138843,5390,Dec 10 2020,"
Answer questions about objects in the yellow bounded box within each image
"
138844,97765,Dec 10 2020,"
New skills survey - skills learned in 2020
"
138845,48737,Dec 10 2020,"
Academic study regarding performance in a simple task
"
138846,17936,Dec 10 2020,"
Academic study regarding performance in a simple task
"
138847,90240,Dec 10 2020,"
Pairwise Patient Photo Evaluation
"
138848,97765,Dec 10 2020,"
Perceptions of How COVID-19 Drugs and Other Medical Treatments are Tested
"
138849,74522,Dec 10 2020,"
Read English sentences and answer questions
"
138850,138473,Dec 10 2020,"
COVID19
"
138851,97765,Dec 10 2020,"
Perceptions of Job Candidate(~ 8 minutes)
"
